N° de la FEB,fr1,fr2,ar1,ar2,bg1,bg2,chi1,chi2,cs1,cs2,da1,da2,de1,de2,el1,el2,en1,en2,es1,es2,es_XL1,es_XL2,et1,et2,fa_IR1,fa_IR2,fi1,fi2,he1,he2,hi1,hi2,hr1,hr2,hu1,hu2,id1,id2,it1,it2,ja1,ja2,ko1,ko2,lt1,lt2,lv1,lv2,nl_NL1,nl_NL2,no1,no2,pl1,pl2,pt_BR1,pt_BR2,pt_PT1,pt_PT2,ro1,ro2,ru1,ru2,sk1,sk2,sl1,sl2,sq1,sq2,sr1,sr2,sv1,sv2,tr1,tr2,uk1,uk2,vi1,vi2
10101_20T2,mph,,mph,,mph,,mph,,mph,,mph,,mph,,mph,,mph,,mph,,mph,,mph,,mph,,mph,,mph,,mph,,mph,,mph,,mph,,mph,,mph,,mph,,mph,,mph,,mph,,mph,,mph,,mph,,mph,,mph,,mph,,mph,,mph,,mph,,mph,,mph,,mph,,mph,,mph,
10101_21,UNITE,,الوحدة,,модул,,单位,,JEDNOTKA,,ENHED,,EINHEIT,,ΜΟΝΑΔΑ,,UNIT,,Unidad,,UNIDAD,,ÜHIK,,واحد,,YKSIKKÖ,,יחידת מדידה,,इकाई,,Jedinica,,EGYSÉG,,UNIT,,UNITA',,ユニット,,단위,,BLOKAS,,VIENĪBA,,Eenheid,,Enhet,,JEDNOSTKA,,UNIDADE,,UNIDADE,,UNITATE,,ЕД. ИЗМЕРЕНИЯ,,Jednotka,,ENOTA,,NJ,,JEDINICA,,ENHET,,BİRİM,,Одиниця виміру,,ĐƠN VỊ,
10101_23,Tableau de bord,à contrôler,تحقق من,لوحة القيادة,Табло,да проверя,仪表板,检查,Řídicí panel,prověřit,Dashboard,til at tjekke,Dashboard,zu prüfen,Ελέγξτε,το ταμπλό,Check,Dashboard,Comprobar,cuadro instrum,Tablero de mando,para comprobar,Kontrollige,armatuurlauda,کنترل,داشبورد,Mittaristo,tarkistettava,בדוק,לוח מחוונים,डैशबोर्ड,की जांच करें,Tabla za,provjeru,Ellenőrizze:,műszerkijelző,Dasbor,untuk memeriksa,Cruscotto,controllare,ダッシュボード,要点検,계기판을,점검하십시오,Prietaisų skyd.,patikrinti,Pārbaudiet,inform. paneli,Dashboard,Controleren,Dashbord,må sjekkes,Panel,sprawdzić,Verificar,Painel Instrum.,Verificar,quadro instrum.,Tablou de bord,de verificat,Проверьте панель,инструментов,Štít prístrojov,skontrolovať,Armaturna plošča,preveriti,Kontrollo,tabelën e inst.,Провера,инструмент табле,Kontrollera,Instrumentpanel,Panel,kontrol,Перевірити,приладову панель,Dashboard,để kiểm tra
10101_24,Tableau de bord,à contrôler,تحقق من,لوحة القيادة,Табло,да проверя,仪表板,检查,Řídicí panel,prověřit,Dashboard,til at tjekke,Dashboard,zu prüfen,Ελέγξτε,το ταμπλό,Check,Dashboard,Comprobar,cuadro instrum,Tablero de mando,para comprobar,Kontrollige,armatuurlauda,کنترل,داشبورد,Mittaristo,tarkistettava,בדוק,לוח מחוונים,डैशबोर्ड,की जांच करें,Tabla za,provjeru,Ellenőrizze:,műszerkijelző,Dasbor,untuk memeriksa,Cruscotto,controllare,ダッシュボード,要点検,계기판을,점검하십시오,Prietaisų skyd.,patikrinti,Pārbaudiet,inform. paneli,Dashboard,Controleren,Dashbord,må sjekkes,Panel,sprawdzić,Verificar,Painel Instrum.,Verificar,quadro instrum.,Tablou de bord,de verificat,Проверьте панель,инструментов,Štít prístrojov,skontrolovať,Armaturna plošča,preveriti,Kontrollo,tabelën e inst.,Провера,инструмент табле,Kontrollera,Instrumentpanel,Panel,kontrol,Перевірити,приладову панель,Dashboard,để kiểm tra
10101_25,Véhicule,à contrôler,تحقق من,السيارة,Провери,автомобила,检查,车辆,Zkontrolovat,vozidlo,Tjek,bil,Fahrzeug,prüfen,Ελέγξτε,το όχημα,Check,vehicle,Revisar,vehículo,Verificar,vehículo,Kontrollige,masinat,بررسی,خودرو,Tarkista,auto,בדוק,את הרכב,गाड़ी की,जांच करें,Provjerite,vozilo,Ellenőriztesse a,gépkocsit,Periksa Kunci,Kemudi Anti-Curi,Veicolo,controllare,車両,点検,차량을,점검해 주십시오,Tikrinti,mašiną,Pārbaudiet,mašīnu,Controleer,voertuig,Kontroller,Bil,Skontroluj,samochód,Verificar o,veículo,Mandar verificar,o veículo,Verifică,vehicul,Проверьте,автомобиль,Skontrolovať,vozidlo,Preverite,vozilo,Kontr. bllokimin,kund,Proveriti,vozilo,Kontrollera,Bilen,Aracı,kontrol ettirin,Перевірте,авто,K.tra Khóa Tay,lái Chống Trộm
10101_26,Injection,à contrôler,تحقق من الحقن,,Провери горивна,система,检查,发动机系统,Zkontrolovat,vstřikování,Tjek,indsprøjtning,Einspritzung,prüfen,Ελέγξτε σύστημα,ψεκασμού,Check,injection,Revisar,la inyección,Verificar,inyección,Kontrollige,sissepritset,بررسی,سوخت‌رسانی,Tarkista,suihkutus,בדוק,הזרקה,इंजेक्शन की,जांच करें,Provjerite,ubrizgavanje,Ellenőriztesse a,befecskendezést,Periksa,Kendaraan,Iniezione,controllare,インジェクション,点検,엔진제어 장치를,점검해 주십시오,Tikrinti,įpurškimą,Pārbaudiet,iesmidzināšanu,Controleer,inspuitsysteem,Kontroller,Insprutning,Skontroluj układ,wtrysku paliwa,Verificar,a injeção,Mandar verificar,a injecção,Verifică,injecţia,Проверьте,систему впрыска,Skontrolovať,vstrekovanie,Preverite,vbrizgavanje,Kontrollo,automjetin,Proveriti,ubrizgavanje,Kontrollera,Insprutning,Enjeksiyonu,kontrol ettirin,Перевірте сист.,впорскування,Kiểm tra,Phương tiện
10101_27,Véhicule,à contrôler,تحقق من,السيارة,Провери,автомобила,检查,车辆,Zkontrolovat,vozidlo,Tjek,bil,Fahrzeug,prüfen,Ελέγξτε,το όχημα,Check,vehicle,Revisar,vehículo,Verificar,vehículo,Kontrollige,masinat,بررسی,خودرو,Tarkista,auto,בדוק,את הרכב,गाड़ी की,जांच करें,Provjerite,vozilo,Ellenőriztesse a,gépkocsit,Periksa Kunci,Kemudi Anti-Curi,Veicolo,controllare,車両,点検,차량을,점검해 주십시오,Tikrinti,mašiną,Pārbaudiet,mašīnu,Controleer,voertuig,Kontroller,Bil,Skontroluj,samochód,Verificar o,veículo,Mandar verificar,o veículo,Verifică,vehicul,Проверьте,автомобиль,Skontrolovať,vozidlo,Preverite,vozilo,Kontr. bllokimin,kund,Proveriti,vozilo,Kontrollera,Bilen,Aracı,kontrol ettirin,Перевірте,авто,K.tra Khóa Tay,lái Chống Trộm
10101_28,Antivol,à contrôler,تحقق من قفل,مانع السرقة,Провери заключ-,ването на волана,检查防盗,转向柱锁,Zkontrolovat,zámek volantu,Tjek tyveri-,sikringsratlås,Lenkradschloss,prüfen,Έλεγξε κλειδαριά,κολώνας τιμονιού,Check anti-theft,steering lock,Revisar,antirrobo,Verif antirrobo,colum direcc,Kontr. varguse,roolilukku,بررسی قفل فرمان,ضد سرقت,Tark varkausesto,ohjauslukko,בדוק מערכת נגד,גניבה - הגה נעול,स्टीयरिंग लॉक,नियंत्रित करना,Provjerite bravu,volana,Ellenőriztesse,az indításgátlót,Tandai kunci roda,kemudi anti-maling,Antifurto,controllare,ステアリング,ロックを点検,핸들잠김 기능을,점검해 주십시오,Tikrinti apsaug.,užraktą,Pārb. pretaizdz.,stūres bloķētāju,Controleer stuur,kolomgrendel,Kontroller,Rattlås,Skontroluj,blokadę kierown.,Verificar,anti-furto,Verificar,antirroubo,Verifică blocare,direcţie,Проверьте замок,рулевой колонки,Skontrolovať,zámok volantu,Preverite,varnostni sistem,Kontrollë,Timonin,Proveriti bravu,upravljača,Kontrollera,stöldskydd,Direksiyon kilit,kontrol ettirin,Перевірте замок,рульової колонки,Kiểm tra chống trộm,khóa tay lái
10101_3,Panne électrique,,عطل كهربائي,,Eлектр. повреда,,电气故障,,Elektro porucha,,Elektrisk fejl,,Elektr. Störung,,Ηλεκτρική βλάβη,,Electric System,Failure,Avería eléctrica,,Falla eléctrica,,Elektriline viga,,نقص الکتریکی,,Sähköhäiriö,,כשל במערכת,החשמל,बिजली की ख़राबी,,Električni kvar,,Elektromos hiba,,SINYAL:,Sistem Listrik,Guasto elettrico,,電気系統故障,,전기 시스템에,이상이 있습니다,Elektros gedimas,,Elektriska kļūme,,Elektr. storing,,Elektrisk feil,,Usterka elektr.,,Pane elétrica,,Avaria elétrica,,Avarie electrică,,Неисп. эл. сист.,,Elektro porucha,,Električna,okvara,Dështimi,Sistemi elektrik,Električni kvar,,Elektriskt fel,,Elektrik arızası,,Електричний збій,,CẢNH BÁO:,Hệ thống Điện
10101_4,Panne du système,de freinage,تنبيه:,نظام الفرامل,Грешка в спирач-,ната система,制动系统,故障,Brzdový systém,porucha,Bremsesystem,fejl,Störung,Bremssystem,Βλάβη συστήματος,πέδησης,WARNING:,Braking System,Avería sistema,de frenado,Falla del,sist. de frenado,Pidurisüsteemi,viga,سیستم ترمز,نقص در,Jarrujärjestelmä,vika,תקלה,במערכת הבלמים,ब्रेकिंग प्रणाली,में दोष,Kočioni sistem,greška,Fékrendszer,hibás,SINYAL:,Sistem Rem,Guasto circuito,freni,ブレーキシステム,不具合,브레이크 장치에,이상이 있습니다,Stabd. Sist.,gedimas,Bremžu sistēmas,kļūme,Storing,remsysteem,Bremsesystem,feil,Usterka układu,hamulcowego,Pane no sistema,de freios,Avaria sistema,de travagem,Avarie sistem,de frânare,Тормоза,неисправны,Porucha,brzdový systém,Okvara zavornega,sistema,PARALAJM,Sistemi i fren.,Kvar na sistemu,za kočenje,VARNING,Bromssystem fel,Fren sistemi,arızası,Збій системи,гальмування,CẢNH BÁO:,Hệ thống Phanh
10101_5,Risque,casse moteur,عطل في المحرك,خطر,Риск от повреда,на двигателя,发动机故障,警告,Riziko,zničení motoru,Motorfejl,fare,Motor kann,zerstört werden,Κίνδυνος βλά-,βης κινητήρα,WARNING: Engine,Failure Risk,Riesgo,rotura motor,Peligro de,falla del motor,Mootori vea,oht,نقص موتور,خطر,Moottorihäiriö,vaara,סכנה,כשל במנוע,इंजन बंद होने,का ख़तरा,Oštečenje motora,rizik,Motor meghibáso-,dás veszélye,SINYAL: Risiko,Kegagalan Mesin,Rischio,rottura motore,エンジン不具合,危険,엔진제어 장치에,이상이 있습니다,Variklio gedimo,pavojus,Dzinēja kļūmes,draudi,Risico,op motorschade,Motorfeil,fare,Ryzyko,awarii silnika,Risco de falha,do motor,Perigo,gripagem motor,Pericol avarie,motor,Риск повреждения,двигателя,Riziko,zničenia motora,Nevarnost okvare,motorja,LAJM,defekt motori,Opasnost od,otkaza motora,VARNING,Motorfel,Motorda hasar,riski,Небезпека збою,двигуна,CẢNH BÁO: Nguy,cơ Hỏng Động cơ
10101_6,Système freinage,à contrôler,تحقق من,نظام الكبح,Провери спирач-,на система,检查,制动系统,Zkontrolovat,brzdový systém,Tjek,bremsesystem,Bremssystem,prüfen,Ελέγξτε,σύστημα πέδησης,WARNING: Check,Braking System,Revisar sistema,de frenado,Verificar,sist. de frenado,Kontrollige,pidurisüsteemi,بررسی,سیستم ترمز,Tarkista,jarrujärjestelmä,בדוק,מערכת בלמים,ब्रेक प्रणाली,की जांच करें,Provjerite,kočnice,Ellenőriztesse a,fékrendszert,SINYAL: Periksa,Sistem Rem,Circuito freni,controllare,ブレーキシステム,を点検,브레이크 장치를,점검해 주십시오,Tikrinti,stabdžių sistemą,Pārbaudiet,bremžu sistēmu,Controleer,remsysteem,Kontroller,Bremsesystem,Skontroluj,układ hamulcowy,Verificar sist.,de frenagem,Mandar verificar,os travões,Verifică sistem,de frânare,Проверьте,тормоза,Skontrolovať,brzdový systém,Preverite,zavorni sistem,LAJM,sistem frenimi,Proveriti,kočioni sistem,Kontrollera,Bromssystem,Fren sistemini,kontrol ettirin,Перевірте,гальмову систему,CẢNH BÁO: K.tra,H.thống Phanh
10101_7,Véhicule,à contrôler,تحقق من,السيارة,Провери,автомобила,检查,车辆,Zkontrolovat,vozidlo,Tjek,bil,Fahrzeug,prüfen,Ελέγξτε,το όχημα,Check,vehicle,Revisar,vehículo,Verificar,vehículo,Kontrollige,masinat,بررسی,خودرو,Tarkista,auto,בדוק,את הרכב,गाड़ी की,जांच करें,Provjerite,vozilo,Ellenőriztesse a,gépkocsit,Periksa Kunci,Kemudi Anti-Curi,Veicolo,controllare,車両,点検,차량을,점검해 주십시오,Tikrinti,mašiną,Pārbaudiet,mašīnu,Controleer,voertuig,Kontroller,Bil,Skontroluj,samochód,Verificar o,veículo,Mandar verificar,o veículo,Verifică,vehicul,Проверьте,автомобиль,Skontrolovať,vozidlo,Preverite,vozilo,Kontr. bllokimin,kund,Proveriti,vozilo,Kontrollera,Bilen,Aracı,kontrol ettirin,Перевірте,авто,K.tra Khóa Tay,lái Chống Trộm
10101_8,Véhicule,à contrôler,تحقق من,السيارة,Провери,автомобила,检查,车辆,Zkontrolovat,vozidlo,Tjek,bil,Fahrzeug,prüfen,Ελέγξτε,το όχημα,Check,vehicle,Revisar,vehículo,Verificar,vehículo,Kontrollige,masinat,بررسی,خودرو,Tarkista,auto,בדוק,את הרכב,गाड़ी की,जांच करें,Provjerite,vozilo,Ellenőriztesse a,gépkocsit,Periksa Kunci,Kemudi Anti-Curi,Veicolo,controllare,車両,点検,차량을,점검해 주십시오,Tikrinti,mašiną,Pārbaudiet,mašīnu,Controleer,voertuig,Kontroller,Bil,Skontroluj,samochód,Verificar o,veículo,Mandar verificar,o veículo,Verifică,vehicul,Проверьте,автомобиль,Skontrolovať,vozidlo,Preverite,vozilo,Kontr. bllokimin,kund,Proveriti,vozilo,Kontrollera,Bilen,Aracı,kontrol ettirin,Перевірте,авто,K.tra Khóa Tay,lái Chống Trộm
10101_9,Injection,à contrôler,تحقق من الحقن,,Провери горивна,система,检查,发动机系统,Zkontrolovat,vstřikování,Tjek,indsprøjtning,Einspritzung,prüfen,Ελέγξτε σύστημα,ψεκασμού,Check,injection,Revisar,la inyección,Verificar,inyección,Kontrollige,sissepritset,بررسی,سوخت‌رسانی,Tarkista,suihkutus,בדוק,הזרקה,इंजेक्शन की,जांच करें,Provjerite,ubrizgavanje,Ellenőriztesse a,befecskendezést,Periksa,Kendaraan,Iniezione,controllare,インジェクション,点検,엔진제어 장치를,점검해 주십시오,Tikrinti,įpurškimą,Pārbaudiet,iesmidzināšanu,Controleer,inspuitsysteem,Kontroller,Insprutning,Skontroluj układ,wtrysku paliwa,Verificar,a injeção,Mandar verificar,a injecção,Verifică,injecţia,Проверьте,систему впрыска,Skontrolovať,vstrekovanie,Preverite,vbrizgavanje,Kontrollo,automjetin,Proveriti,ubrizgavanje,Kontrollera,Insprutning,Enjeksiyonu,kontrol ettirin,Перевірте сист.,впорскування,Kiểm tra,Phương tiện
10102_3,Niveau d'huile,à réajuster,تنبيه: إملأ,مستوى زيت المحرك,Долей,масло,添加,机油,Zkontrolovat,hladinu oleje,Efterfyldning,oliestand,Öl,nachfüllen,Συμπληρώστε τη,στάθμη λαδιού,WARNING: Top Up,Engine Oil,Rellenar,nivel de aceite,Completar,nivel de aceite,Lisage,õli,بالا آوردن,سطح روغن,Täytä,öljytaso,הוסף,שמן,तेल सही स्तर,पर लाएं,Podesite,nivo ulja,Állítsa be az,olajszintet,SINYAL: Isi,Oli Mesin,Livello olio,rabboccare,オイルを,補給してください,엔진 오일을,보충해 주십시오,Įpilti,daugiau alyvos,Uzpildiet,eļļas līmeni,Olie,bijvullen,Etterfyll,oljenivå,Uzupełnij,poziom oleju,Completar,nível do óleo,Ajustar,nível de óleo,Completează,nivelul uleiului,Проверьте,уровень масла,Skontrolovať,hladinu oleja,Dolijte olje,,LAJM,p,Ulje u motoru,proveri-dopuni,Fyll på,motorolja,Yağ seviyesini,tamamlayınız,Долийте,масло,CẢNH BÁO:,Đổ Dầu Động cơ
10107_1,Risque,de verglas,خطر جليد,,Риск от,заледяване,冻雨,危险,Riziko,námrazy,Risiko for,sort is,Glatteis-,gefahr,Κίνδυνος πάγου,στο οδόστρωμα,Risk of,Black Ice,Riesgo de,hielo en calzada,Riesgo de hielo,en calzada,Musta jää,oht,خطر,یخ سیاه,Mustan jään,riski,סכנת קרח,על הכביש,ब्लैक आइस,का ख़तरा,Opasnost,poledice,Jegesedési,veszély,Risiko,Black Ice,Rischio,di ghiaccio,路面凍結,危険,빙판길을,주의하십시오,Gresia,plikledis,Apledojuma,risks,Kans op,gladheid,Risiko,for isføre,Ryzyko,oblodzenia,Risco de gelo,na pista,Risco de gelo,na estrada,Risc producere,polei,Опасность,гололедицы,Riziko,námrazy,Nevarnost,poledice,Rrezik p,akull t,Pažnja,moguća poledica,Risk för halka,,Buzlanma,riski,Ризик,ожеледиці,Nguy cơ,Đường Đóng băng
10109_16,Siège arrière,déconnecté,المقعد الخلفي,منفصل,Задната седалка,е изключена,后排座椅,断开,Zkontrolujte,konektor sedadla,Bagsæde,frakoblet,Rücksitz nicht,verbunden,Πίσω κάθισμα,αποσυνδεμένο,Check removable,seat connection,Asiento trasero,desconectado,Asiento trasero,desconectado,Kontrollige eemaldatava,istme ühendust,صندلی عقب,عدم اتصال,Takaistuin irti,,בדוק את חיבור,המושב הנשלף,पीछे की सीट,डिस्कनेक्ट किया,Provjerite spoj,uklonjivog sjed,Hátsó ülés csat-,lakozás megszűnt,Periksa sambung-,an kursi lepasan,Sedile post,disconnesso,「チェック取り外し可能,シート接続部』,뒷좌석 안전벨트,착용 해제됨,Tikrinti sėdynės,prijungimą,Pārbaud. krēsla,savienojumu,Achterbank,losgekoppeld,Baksete,frakoblet,Siedzenie tylne,odłączone,Assento traseiro,desconectado,Banco traseiro,desligado,Scaun spate,deconectat,Заднее сиденье,отсоединено,Zadné sedadlo,odpojené,Preverite povezavo,odstranljiv. sedeža,Kontr. lidhjen,çmont. të ulëses,Zadnje sedište,odspojeno,Baksäte,frånkopplat,Arka koltuk,bağlantısı kntrl,Заднє сидіння,від'єднано,K.tra kết nối,ghế tháo được
10109_17,Connexion siège,à contrôler,تحقق من,اتصال المقعد,Проверте връзка,със седалката,检查座椅,连接,Zkontrolovat,zapojení sedadla,Tjek sæde-,forbindelse,Sitzverbindung,prüfen,Ελέγξτε σύνδεση,καθίσματος,Check removable,seat connection,Comprobar conex.,asiento,Revisar conexión,del asiento removible,Kontrollige eemaldatava,istme ühendust,کنترل صندلی,اتصال,Tarkista penkin,liitäntä,בדוק את,חיבור המושב,सीट कनेक्शन,की जाँच करें,Provjerite,priključ sjedala,Ülés csatlakozás,ellenőrizendő,Periksa sambung-,an kursi lepasan,Collegam sedile,controllare,シートのロック,を確認して下さい,안전벨트,착용상태 확인 요망,Tikrinti sėdynės,prijungimą,Pārbaud. krēsla,savienojumu,Controleer stoel,aansluiting,Sjekk sete,tilkobling,Złącze siedzenia,skontroluj,Verif. conexão,do assento,Verif. ligação,do banco,Verificați,conexiune scaun,Проверить соеди-,нение сиденья,Skontrolujte,pripojenie sedad,Preverite,povezavo sedeža,Kontr. lidhjen,çmont. të ulëses,Proveriti vezu,sa sedištima,Kontrollera,dataanslutning,Koltuk bağlantı,kontrol ettirin,Перевірте,з'єднан. сидіння,K.tra kết nối,ghế tháo được
10113_5,Température eau,,درجة حرارة الماء,,темп. вода,,水温,,Teplota ch. kap.,,Vandtemp.,,Wassertemperatur,,Θερμοκρ. νερού,,Water temp.,,Temperatura agua,,Temp del agua,,Veetemperatuur,,دمای آب,,Veden lämpötila,,טמפרטורת מים,,पानि का तापमान,,Temperatura vode,,Vízhőmérséklet,,Suhu air,,Temp. acqua,,水温,,냉각수온도,,Vandens temp.,,Ūdens temp.,,Watertemperatuur,,Vann temp.,,Temperatura wody,,Temperatura água,,Temperatura água,,Temperatură apă,,Температура,,Teplota ch. kvap,,Temperatura,,Temp. e ujit,,Temperatura vode,,Kylvätsketemp.,,Su sıcaklığı,,Темп. води,,Nhiệt độ nước.,
